brand,actual_price,ad,discount_price,product_url,product_img
H&M,Rs. 1399,AD,Nil,https://www.myntra.com/lounge-pants/h%26m/hm-women-textured-mid-rise-pyjama/36098821/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/dHOhRU8h_6afb381f629749bf99ef631a6cc9613d.jpg"
H&M,Rs. 699,AD,Nil,https://www.myntra.com/blush/h%26m/hm-do-it-all-multi-use-blush-stick-cheeks--lips-natural-finish--coral-craving-7-g/37350207/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/18/bGFTZKig_fc4d2d55c8254a679fae78cc7b92867b.jpg"
H&M,Rs. 1499,AD,Nil,https://www.myntra.com/belts/h%26m/hm-men-leather-belt/22275196/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22275196/2023/3/10/77c9ba17-432f-4095-b86c-fd5ffe80b4f21678432611988Leatherbelt1.jpg"
H&M,Rs. 1799,AD,Nil,https://www.myntra.com/night-suits/h%26m/hm-waffled-cotton-pyjamas/35970706/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/OCpUPP0z_0de183230e5941189e959a2e4d91d08e.jpg"
H&M,Rs. 1399,AD,Nil,https://www.myntra.com/night-suits/h%26m/hm-2-piece-cotton-jersey-set/35038389/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/pta2mfOB_16dcce12783641ea93c152011f18ffbd.jpg"
H&M,Rs. 1499,AD,Nil,https://www.myntra.com/belts/h%26m/hm-men-leather-belt/22275206/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22275206/2023/3/10/3e7a34ee-1d36-48a9-bedf-e8e2a28b47ee1678432614589Leatherbelt1.jpg"
H&M,Rs. 2599,AD,Nil,https://www.myntra.com/night-suits/h%26m/hm-ribbed-modal-pyjamas/36865062/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/9/nu8D7CLO_beb1438a46cd4860a29a89c87f39d43e.jpg"
H&M,Rs. 299,AD,Nil,https://www.myntra.com/nail-polish/h%26m/hm-nail-polish-champurrado-8-ml/12035004/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/16/ax5ugmgr_f6f047dea06941639a7c6d20b62f3537.jpg"
H&M,Rs. 1399,AD,Nil,https://www.myntra.com/night-suits/h%26m/hm-cotton-pointelle-pyjamas/34834450/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/Cw6peuD3_0cf9c538939d4dd69303b29b11fe7dd8.jpg"
H&M,Rs. 1399,AD,Nil,https://www.myntra.com/night-suits/h%26m/hm-pointelle-pyjamas/36174442/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/LRD3G8Ht_b250e17333be455eb076aa968fe90e97.jpg"
H&M,Rs. 999,AD,Nil,https://www.myntra.com/lounge-shorts/h%26m/hm-velour-shorts/35958102/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/9/Tuh79h0l_06f85c5b1e934933b812d6a2ae513fd3.jpg"
H&M,Rs. 299,AD,Nil,https://www.myntra.com/nail-polish/h%26m/hm-nail-polish-rum-raisin-detre-8-ml/12035228/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/16/2zkdI8Zi_d907341a81fd4ad2b9d7ba5104469f90.jpg"
H&M,Rs. 799,AD,Nil,https://www.myntra.com/shorts/h%26m/hm-sweatshirt-shorts/36755832/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/9/VbKL9Tnt_fa963251d82843d08edc60a8345b01b1.jpg"
