brand,product_type,product_price,product_actual_price,product_page_url,product_img_url
Powerlook,Casual Shirt,Rs. 1039,Rs. 2599,https://www.myntra.com/shirts/powerlook/powerlook-men-checked-casual-shirt/38661935/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/16/aotPW9gE_0c61acc5a17c46df8047a4634b2e6579.jpg"
VANI COUTURE,,Rs. 497,Rs. 999,https://www.myntra.com/shirts/vani+couture/vani-couture-boys-casual-shirt/38068080/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/24/2i7FOdu4_6b4c6dbcf3d142e0b25118b24d0e0da2.jpg"
max,Boys Striped Cotton Shirt,Rs. 559,Rs. 699,https://www.myntra.com/shirts/max/max-boys-vertical-striped-spread-collar-cotton-casual-shirt/33731625/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/rmazJUxR_26cbc1f2133e4dcb987f801a1897fb99.jpg"
U.S. Polo Assn.,Pure Cotton Casual Shirt,Rs. 1035,Rs. 2299,https://www.myntra.com/shirts/u.s.+polo+assn./us-polo-assn-tailored-fit-pure-cotton-casual-shirt/30425609/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30425609/2024/9/3/6d8b5d1b-cb70-470b-81e2-e3851b506ada1725340922376-US-Polo-Assn-Men-Shirts-1771725340921771-1.jpg"
U.S. Polo Assn. Kids,,Rs. 839,Rs. 1499,https://www.myntra.com/shirts/u.s.+polo+assn.+kids/us-polo-assn-kids-boys-classic-fit-spread-collar-typography-printed-cotton-casual-shirt/32674347/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/6/XQL12vH2_4ad4fc04459040cc956a0566e77eba64.jpg"
TOONKY,Casual Shirt,Rs. 398,Rs. 1599,https://www.myntra.com/shirts/toonky/toonky-boys-standard-casual-shirt/38650139/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/15/RikHHid5_5981d3f2d54b4bca801d86c8be366fad.jpg"
Roadster,Pure Cotton Casual Shirt,Rs. 432,Rs. 1299,https://www.myntra.com/shirts/roadster/the-roadster-life-co-pure-cotton-roll-up-sleeves-casual-shirt/37553677/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/26/YekLUawS_2b5d94cf603d4dc7b867b0134f5e2cd7.jpg"
MASU LIVING,,Rs. 597,Rs. 1996,https://www.myntra.com/shirts/masu+living/masu-living-boys-comfort-floral-opaque-printed-cotton-casual-shirt/28922872/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/5/aGKswPwy_f9ad305e4c7c4b009b2c31b8913a35b1.jpg"
Roadster,Chambray Casual Shirt,Rs. 460,Rs. 1499,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-light-blue-solid-regular-fit-chambray-casual-shirt/15557590/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15557590/2022/2/18/a88d594a-0184-4042-baad-01c2d7874cec1645166286136-Roadster-Men-Shirts-4091645166285596-1.jpg"
Nautica,Slim Cotton Linen Shirt,Rs. 863,Rs. 2699,https://www.myntra.com/shirts/nautica/nautica-slim-fit-self-design-textured-cotton-linen-casual-shirt/38207237/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/8/LowkFlha_67ad583c907e4804975dbd1d167aa406.jpg"
BEARSOUL,,Rs. 495,Rs. 1725,https://www.myntra.com/shirts/bearsoul/bearsoul-boy-spread-collar-relaxed-fit-casual-shirt/33585314/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/12/kEw3Bct9_7f12e6e28c5e464ca4702750e9793ebd.jpg"
VenderVilla,Casual Shirt,Rs. 986,Rs. 3499,https://www.myntra.com/shirts/vendervilla/vendervilla-men-printed-casual-shirt/39788539/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/FEBRUARY/2/YAZAIgw2_cd76e093f3134e9a9d4684d3a259350d.jpg"
Raymond,Pure Cotton Formal Shirt,Rs. 1049,Rs. 2099,https://www.myntra.com/shirts/raymond/raymond-pure-cotton-opaque-formal-shirt/28554820/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28554820/2024/5/16/de261930-0738-4f99-a7b6-c43bc90094141715834577440ShirtsencorebyINVICTUSWomenShirtsencorebyINVICTUSWomenShirts1.jpg"
Pepe Jeans,,Rs. 751,Rs. 1599,https://www.myntra.com/shirts/pepe+jeans/pepe-jeans-boys-spread-collar-graphic-printed-cotton-casual-shirt/30777226/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/2/TtClck4T_5db6ae4555374befba08deea6affa62a.jpg"
Powerlook,SS25 Pure Cotton Casual Shirt,Rs. 1231,Rs. 2199,https://www.myntra.com/shirts/powerlook/powerlook-ss25-spread-collar-pure-cotton-casual-shirt/34745592/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/5/4pGepR5b_10ab1993287348eeac8b2b2449c8a5d0.jpg"
Powerlook,Men Checked Cotton Shirt,Rs. 813,Rs. 2199,https://www.myntra.com/shirts/powerlook/powerlook-men-spread-collar-micro-checked-cotton-casual-shirt/32156947/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/31/VeZU76mB_e8ecfe223a2b4a62bf4340b56d8c4fb9.jpg"
H&M,,,,https://www.myntra.com/shirts/h%26m/hm-cotton-shirt/38224269/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/15/1N9R24Zu_dc7945ccaf3c490d82b1285b9f01d5f5.jpg"
Roadster,Solid Regular Fit Shirt,Rs. 721,Rs. 1899,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-solid-regular-fit-shirt/33439616/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33439616/2025/5/6/403adf0c-6203-44e0-91a8-7a098af178961746531570755-The-Life-Co-Pure-Cotton-Wrap-Style-Casual-Shirt-159174653156-1.jpg"
U.S. Polo Assn.,Cotton Casual Shirt,Rs. 1379,Rs. 2299,https://www.myntra.com/shirts/u.s.+polo+assn./u-s-polo-assn-men-maroon-cotton-classic-everyday-shirt/20384236/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20384236/2025/3/15/69fc1daf-9c00-4b95-ba10-a117dc126fa81742031249624-U-S-Polo-Assn-Men-Maroon-Cotton-Classic-Everyday-Shirt-27817-1.jpg"
CORSICA,,Rs. 497,Rs. 1899,https://www.myntra.com/shirts/corsica/corsica-women-comfort-slim-fit-casual-shirt/37675305/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/30/PF9iDiJj_df98ecb31bc74ac6aeb3fe532ea1ae3d.jpg"
Allen Solly Junior,Boys Striped Casual Shirt,Rs. 741,Rs. 1399,https://www.myntra.com/shirts/allen+solly+junior/allen-solly-junior-boys-vertical-striped-casual-shirt/37945960/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/9/0h6TmE3C_3f114be730ed4e439b48f0b7a1bd9ebe.jpg"
HIGHLANDER,Men Checked Casual Shirt,Rs. 787,Rs. 3149,https://www.myntra.com/shirts/highlander/highlander-men-checked-spread-collar-casual-shirt/34762057/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/5/72TyK43D_1924a40e3c1944e480fd1085e602deee.jpg"
SKY PEARL,,Rs. 399,Rs. 999,https://www.myntra.com/shirts/sky+pearl/sky-pearl-boys-comfort-opaque-casual-shirt/32865222/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/20/G9AUYIv8_eac9acef3ea645d78dd5fbd37778f4b9.jpg"
Marks & Spencer,Opaque Casual Shirt,Rs. 749,Rs. 1499,https://www.myntra.com/shirts/marks+%26+spencer/marks--spencer-boys-opaque-casual-shirt/32547068/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/29/TU4CcDY6_350b29b8fcc747618b20c11c20fe8e4e.jpg"
Park Avenue,Slim Pure Cotton Casual Shirt,Rs. 989,Rs. 2199,https://www.myntra.com/shirts/park+avenue/park-avenue-slim-fit-opaque-pure-cotton-casual-shirt/25365088/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25365088/2023/11/16/ae4c6203-9769-478d-8d6a-24ca6cfb4c0f1700129208791-Park-Avenue-Slim-Fit-Opaque-Pure-Cotton-Casual-Shirt-7517001-1.jpg"
United Colors of Benetton,,Rs. 1079,Rs. 1999,https://www.myntra.com/shirts/united+colors+of+benetton/united-colors-of-benetton-kids-boys-striped-pure-cotton-shirt/32634678/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32634678/2025/4/29/648b188c-7076-498a-8414-e804ab016b991745918378782-United-Colors-of-Benetton-Kids-Boys-Striped-Pure-Cotton-Shir-5.jpg"
